,Symbol,Company Name, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
1270,NESTLEIND,Nestle India Limited,EQ,1-Aug-23,1,1,INE239A01024,1
1299,NMDC,NMDC Limited,EQ,3-Mar-08,1,1,INE584A01023,1
1310,NTPC,NTPC Limited,EQ,5-Nov-04,10,1,INE733E01010,10
1335,ONGC,Oil & Natural Gas Corporation Limited,EQ,19-Jul-95,5,1,INE213A01029,5
1358,PAGEIND,Page Industries Limited,EQ,16-Mar-07,10,1,INE761H01022,10
1386,PEL,Piramal Enterprises Limited,EQ,8-Feb-95,2,1,INE140A01024,2
1390,PETRONET,Petronet LNG Limited,EQ,26-Mar-04,10,1,INE347G01014,10
1391,PFC,Power Finance Corporation Limited,EQ,23-Feb-07,10,1,INE134E01011,10
1400,PIDILITIND,Pidilite Industries Limited,EQ,29-Mar-95,1,1,INE318A01026,1
1402,PIIND,PI Industries Limited,EQ,15-Jun-11,1,1,INE603J01030,1
1412,PNB,Punjab National Bank,EQ,24-Apr-02,2,1,INE160A01022,2
1427,POWERGRID,Power Grid Corporation of India Limited,EQ,5-Oct-07,10,1,INE752E01010,10
1512,RECLTD,REC Limited,EQ,12-Mar-08,10,1,INE020B01018,10
1520,RELIANCE,Reliance Industries Limited,EQ,29-Nov-95,10,1,INE002A01018,10
1590,SAIL,Steel Authority of India Limited,EQ,6-Jul-95,10,1,INE114A01011,10
1633,SBICARD,SBI Cards and Payment Services Limited,EQ,16-Mar-20,10,1,INE018E01016,10
1634,SBILIFE,SBI Life Insurance Company Limited,EQ,3-Oct-17,10,1,INE123W01016,10
1635,SBIN,State Bank of India,EQ,1-Mar-95,1,1,INE062A01020,1
1686,SHREECEM,SHREE CEMENT LIMITED,EQ,26-Apr-95,10,1,INE070A01015,10
1698,SIEMENS,Siemens Limited,EQ,6-Sep-95,2,1,INE003A01024,2
1759,SRF,SRF Limited,EQ,18-Aug-03,10,1,INE647A01010,10
1800,SUNPHARMA,Sun Pharmaceutical Industries Limited,EQ,8-Feb-95,1,1,INE044A01036,1
1849,TATACHEM,Tata Chemicals Limited,EQ,1-Apr-99,10,1,INE092A01019,10
1851,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,EQ,18-Nov-98,1,1,INE192A01025,1
1854,TATAMOTORS,Tata Motors Limited,EQ,22-Jul-98,2,1,INE155A01022,2
1856,TATASTEEL,Tata Steel Limited,EQ,18-Nov-98,1,1,INE081A01020,1
1865,TCS,Tata Consultancy Services Limited,EQ,25-Aug-04,1,1,INE467B01029,1
1868,TECHM,Tech Mahindra Limited,EQ,28-Aug-06,5,1,INE669C01036,5
1903,TITAN,Titan Company Limited,EQ,24-Sep-04,1,1,INE280A01028,1
1910,TORNTPHARM,Torrent Pharmaceuticals Limited,EQ,25-Nov-02,5,1,INE685A01028,5
1922,TRENT,Trent Limited,EQ,7-Jun-04,1,1,INE849A01020,1
1935,TVSMOTOR,TVS Motor Company Limited,EQ,2-Aug-00,1,1,INE494B01023,1
1951,ULTRACEMCO,UltraTech Cement Limited,EQ,24-Aug-04,10,1,INE481G01011,10
1971,UPL,UPL Limited,EQ,23-Jan-04,2,1,INE628A01036,2
1994,VEDL,Vedanta Limited,EQ,13-May-98,1,1,INE205A01025,1
2033,VOLTAS,Voltas Limited,EQ,12-Apr-95,1,1,INE226A01021,1
2066,WIPRO,Wipro Limited,EQ,8-Nov-95,2,1,INE075A01022,2
2083,ZEEL,Zee Entertainment Enterprises Limited,EQ,9-Sep-98,1,1,INE256A01028,1
